,title,author,publication_date,format,current_price,original_price
107,The Power of Now,Eckhart Tolle,07 Jan 2016,Paperback,US$9.78,US$19.75
108,Conversations on Love,Natasha Lunn,03 Feb 2022,Paperback,US$12.40,US$13.26
109,The 48 Laws Of Power,Robert Greene,20 Nov 2000,Paperback,US$20.44,US$23.72
110,Convenience Store Woman,Sayaka Murata,05 Aug 2019,Paperback,US$8.88,US$10.84
111,The Husky and His White Cat Shizun: Erha He Ta De Bai Mao Shizun (Novel) Vol. 1,Rou Bao Bu Chi Rou,15 Nov 2022,Paperback,US$16.65,US$19.99
112,Heaven Official's Blessing: Tian Guan Ci Fu (Novel) Vol. 3,Mo Xiang Tong Xiu,12 Jul 2022,Paperback,US$16.65,US$19.99
113,"The Sun, the Sea and the Stars",Iulia Bochis,01 Sep 2022,Hardback,US$17.85,US$18.08
114,Stolen Focus,Johann Hari,05 Jan 2023,Paperback,US$12.84,US$13.26
115,A Court of Thorns and Roses,Sarah J. Maas,05 Jun 2020,Paperback,US$11.22,
116,Daisy Haites,Jessa Hastings,15 Dec 2022,Paperback,US$14.79,US$15.67
117,"Chainsaw Man, Vol. 5",Tatsuki Fujimoto,24 Jun 2021,Paperback,US$9.44,US$9.99
118,The Mountain Is You,Brianna Wiest,01 Jun 2020,Paperback,US$29.97,
119,Adult Children of Emotionally Immature Parents,Lindsay C Gibson,25 Jun 2015,Paperback,US$13.83,US$18.95
120,Reminders of Him,Colleen Hoover,25 Jan 2022,Paperback,US$12.39,US$15.95
121,"Vagabond (VIZBIG Edition), Vol. 2",Takehiko Inoue,14 Aug 2014,Paperback,US$24.00,
122,A Thousand Boy Kisses,Tillie Cole,04 Aug 2022,Paperback,US$11.70,US$12.05
123,Manifest: Dive Deeper,Roxie Nafousi,05 Jan 2023,Hardback,US$19.82,US$20.49
124,The Book You Wish Your Parents Had Read (and Your Children Will Be Glad That You Did),Philippa Perry,31 Dec 2020,Paperback,US$12.44,US$13.26
125,"Sasaki and Miyano, Vol. 7",Shou Harusono,21 Feb 2023,Paperback,US$11.57,US$13.00
126,The Four Agreements,Don Miguel Ruiz,07 Nov 1997,Paperback,US$12.87,
127,Three Widows,Patricia Gibney,10 Feb 2023,Paperback,US$18.74,
128,Queer Chameleon and Friends,Amee Wilson,14 Feb 2023,Hardback,US$29.74,
129,Rich Dad Poor Dad,Robert T. Kiyosaki,19 May 2022,Paperback,US$9.99,
130,How the World Really Works,Vaclav Smil,06 Oct 2022,Paperback,US$12.46,US$13.26
131,I'm Glad My Mom Died,Jennette McCurdy,15 Sep 2022,Hardback,US$22.99,US$27.99
132,"Chainsaw Man, Vol. 9",Tatsuki Fujimoto,31 Mar 2022,Paperback,US$9.99,
133,Giraffes Can't Dance,Giles Andreae,01 May 2014,Paperback,US$13.56,
134,Damascus Station,David McCloskey,26 Jan 2023,Paperback,US$14.02,
135,Loss,Donna Ashworth,04 Oct 2022,Hardback,US$9.74,US$16.99
136,This is How You Lose the Time War,Amal El-Mohtar,18 Jul 2019,Paperback,US$8.66,US$13.26
137,I Want My Hat Back,Jon Klassen,04 Oct 2012,Paperback,US$8.56,US$15.50
138,A Million Kisses In Your Lifetime,Monica Murphy,01 Sep 2022,Paperback,US$13.42,
139,The Light Seer's Tarot,Chris-Anne,03 Dec 2019,Cards,US$18.75,US$24.99
140,Have You Filled A Bucket Today?,Carol McCloud,01 Oct 2015,Paperback,US$10.08,
141,Ariel,Sylvia Plath,02 Nov 2010,Hardback,US$13.48,US$14.95
142,"Chainsaw Man, Vol. 10",Tatsuki Fujimoto,26 May 2022,Paperback,US$9.30,US$9.99
143,Time to Think,Hannah Barnes,23 Feb 2023,Hardback,US$21.59,US$24.12
144,Cain's Jawbone,Ernest Powys Mathers,08 Jul 2021,Paperback,US$10.02,US$12.95
145,Grandmaster of Demonic Cultivation: Mo Dao Zu Shi (Novel) Vol. 2,Mo Xiang Tong Xiu,17 May 2022,Paperback,US$17.21,US$19.99
146,Grandmaster of Demonic Cultivation,Mo Xiang Tong Xiu,14 Dec 2021,Paperback,US$17.75,US$19.99
147,Dopamine Nation,Dr Anna Lembke,19 Jan 2023,Paperback,US$10.26,US$13.26
148,Mindset - Updated Edition,Dr Carol Dweck,11 Apr 2017,Paperback,US$11.74,US$15.67
149,The Lion Inside,Rachel Bright,10 Mar 2016,Paperback,US$8.19,US$8.43
150,Dead Poets Society,N.H. Kleinbaum,07 Dec 2006,Paperback,US$8.99,
151,The Bell Jar,Sylvia Plath,15 Aug 2011,Paperback,US$10.85,US$12.95
152,"Chainsaw Man, Vol. 11",Tatsuki Fujimoto,07 Jul 2022,Paperback,US$9.50,US$9.99
153,Surrounded by Idiots,Thomas Erikson,30 Jul 2019,Paperback,US$12.25,US$13.26
154,Grandmaster of Demonic Cultivation: Mo Dao Zu Shi (Manhua) Vol. 1,Mo Xiang Tong Xiu,07 Mar 2023,Paperback,US$17.89,US$19.99
155,The Last Remains,Elly Griffiths,31 Jan 2023,Hardback,US$26.81,
156,Six of Crows: Collector's Edition,Leigh Bardugo,11 Oct 2018,Hardback,US$19.16,US$20.49
157,Confess,Colleen Hoover,19 Oct 2015,Paperback,US$9.69,US$15.00
158,"Vagabond (VIZBIG Edition), Vol. 1",Takehiko Inoue,03 Jul 2014,Paperback,US$25.43,
159,Look Inside Your Body,Louie Stowell,08 Jan 2021,Board book,US$14.53,US$15.69
160,Legends & Lattes,Travis Baldree,10 Nov 2022,Hardback,US$20.95,
161,Women Talking,Miriam Toews,19 Jan 2023,Paperback,US$10.32,US$10.84
162,Normal People,Sally Rooney,23 Jul 2019,Paperback,US$11.26,US$12.05
163,Sabai,Pailin Chongchitnant,14 Mar 2023,Hardback,US$35.62,
164,"Chainsaw Man, Vol. 8",Tatsuki Fujimoto,03 Mar 2022,Paperback,US$9.62,US$9.99
165,"Chainsaw Man, Vol. 2",Tatsuki Fujimoto,24 Dec 2020,Paperback,US$9.34,US$9.99
166,The Stolen Village,Des Ekin,15 Dec 2008,Paperback,US$17.31,US$21.95
167,Messi (Ultimate Football Heroes - the No. 1 football series),Matt & Tom Oldfield,01 Nov 2017,Paperback,US$6.68,US$10.99
168,Scattered Minds,Gabor Mate,03 Jan 2019,Paperback,US$14.33,US$15.67
169,Ego is the Enemy,Ryan Holiday,31 Oct 2018,Paperback,US$10.10,US$15.87
170,Brain Energy,Christopher M. Palmer,15 Nov 2022,Hardback,US$23.80,US$28.95
171,Archer's Voice,Mia Sheridan,08 Dec 2022,Paperback,US$15.52,US$16.99
172,The World According to Kaleb,Kaleb Cooper,18 Apr 2023,Hardback,US$17.99,US$24.99
173,A Court of Silver Flames,Sarah J. Maas,26 May 2022,Paperback,US$14.47,
174,Heaven,Mieko Kawakami,12 May 2022,Paperback,US$10.76,
175,The Case Against the Sexual Revolution,L Perry,29 Aug 2022,Paperback,US$14.50,US$19.95
176,A Little Life,Hanya Yanagihara,10 Mar 2017,Paperback,US$19.52,
177,Why Has Nobody Told Me This Before?,Dr Julie Smith,06 Jan 2022,Hardback,US$20.12,US$20.49
178,The Very Hungry Caterpillar,Eric Carle,30 Sep 2001,Board book,US$8.92,US$9.48
179,Letters from a Stoic,Seneca,23 Aug 2017,Paperback,US$11.26,US$17.00
180,The Parenting Map,Shefali Tsabary,27 Apr 2023,Hardback,US$31.89,
181,The Intelligent Investor,Benjamin Graham,23 Oct 2003,Paperback,US$22.06,US$25.99
182,"Jujutsu Kaisen, Vol. 18",Gege Akutami,02 Feb 2023,Paperback,US$8.63,US$9.99
183,"Chainsaw Man, Vol. 7",Tatsuki Fujimoto,09 Dec 2021,Paperback,US$9.52,US$9.99
184,"Chainsaw Man, Vol. 3",Tatsuki Fujimoto,01 Apr 2021,Paperback,US$9.34,US$9.99
185,Don't Let the Pigeon Drive the Bus!,Mo Willems,22 Jul 2011,Paperback,US$7.77,US$9.48
186,Lessons in Chemistry,Bonnie Garmus,02 Mar 2023,Paperback,US$10.78,US$12.05
187,The Maria Thun Biodynamic Calendar 2023: 2023,Titia Thun,15 Sep 2022,Paperback,US$10.54,
188,Blue Lock 5,Muneyuki Kaneshiro,21 Feb 2023,Paperback,US$13.50,
189,Awaken Your Multidimensional Soul,Lee Harris,09 Jun 2023,Paperback,US$16.73,US$17.95
190,Belladonna,Adalyn Grace,30 Aug 2022,Hardback,US$18.52,US$20.49
191,Crooked Kingdom Collector's Edition,Leigh Bardugo,05 Sep 2019,Hardback,US$19.01,US$20.49
192,Poems to Perform,JULIA DONALDSON,30 Jan 2014,Paperback,US$8.28,US$8.43
193,Dear Zoo,Rod Campbell,08 May 2007,Board book,US$8.27,
194,Look Inside Our World,Emily Bone,30 Dec 2014,Board book,US$13.81,
195,"Good Girl, Bad Blood",Holly Jackson,01 May 2020,Paperback,US$10.51,US$10.84
196,how sunflowers bloom under moonlight,Isabella Dorta,14 Feb 2022,Paperback,US$14.24,
197,It Starts with Us,Colleen Hoover,18 Oct 2022,Hardback,US$17.74,US$18.08
198,The Bell Jar,Sylvia Plath,06 Oct 2022,Hardback,US$18.30,
199,Braiding Sweetgrass,Robin Wall Kimmerer,23 Apr 2020,Paperback,US$12.92,US$13.26
200,Animal Farm,George Orwell,01 Oct 2008,Paperback,US$9.39,US$17.75
201,A Dictionary of Color Combinations,,17 Mar 2011,Paperback,US$24.98,
202,The Rainbow Fish,Marcus Pfister,01 Jul 2012,Paperback,US$8.32,US$9.95
203,the Silva Mind Control Method,Jose Silva,19 Apr 2022,Paperback,US$16.45,US$17.99
204,"Chainsaw Man, Vol. 6",Tatsuki Fujimoto,14 Oct 2021,Paperback,US$11.64,
205,The Art Of Seduction,Robert Greene,13 Sep 2012,Paperback,US$19.72,US$23.72
206,The Shards,Bret Easton Ellis,17 Jan 2023,Paperback,US$24.22,
207,"Good Vibes, Good Life",Vex King,04 Dec 2018,Paperback,US$11.76,US$16.99
208,Food for Life,Tim Spector,15 Mar 2023,Hardback,US$25.37,US$39.99
209,Hold on to Your Kids,Gabor Mate,03 Jan 2019,Paperback,US$14.25,US$15.67
210,The Obstacle is the Way,Ryan Holiday,31 Oct 2018,Paperback,US$10.71,US$15.08
211,What to Do When You Worry Too Much,Dawn Huebner,15 Sep 2005,Paperback,US$16.99,
212,Berserk Deluxe Volume 1,Kentaro Miura,25 Apr 2019,Hardback,US$55.25,
213,The Cruel Prince (The Folk of the Air),Holly Black,26 Jul 2018,Paperback,US$8.85,US$10.84
214,November 9,Colleen Hoover,11 Nov 2015,Paperback,US$10.71,US$13.00
215,How To Do The Work,Nicole LePera,11 Mar 2021,Paperback,US$15.72,US$20.49
216,The Salt Path,Raynor Winn,31 Jan 2019,Paperback,US$12.03,US$13.26
217,How to Grow Your Small Business,Donald Miller,14 Mar 2023,Hardback,US$24.16,US$26.99
218,Marriage for One,Ella Maise,27 Oct 2022,Paperback,US$12.39,
219,All Your Perfects,Colleen Hoover,31 Mar 2022,Paperback,US$9.61,US$10.84
220,From Lukov with Love,Mariana Zapata,30 Aug 2022,Paperback,US$11.12,US$12.05
221,Speak Italian,Bruno Munari,01 Apr 2005,Paperback,US$14.00,US$15.95
222,Baking Yesteryear,Author B. Dylan Hollis,25 Jul 2023,Hardback,US$28.64,US$32.00
223,Surface Decoration for Ceramics,Claire Ireland,30 Dec 2022,Paperback,US$25.05,
224,"Set Boundaries, Find Peace",Nedra Glover Tawwab,30 Mar 2021,Paperback,US$14.25,US$18.08
225,The Island of Missing Trees,Elif Shafak,07 Apr 2022,Paperback,US$11.78,US$12.05
226,Godkiller,Hannah Kaner,19 Jan 2023,Hardback,US$21.59,
227,The Tiger Who Came to Tea,Judith Kerr,06 Feb 2006,Paperback,US$12.22,
228,Una Luz En La Llama,Jennifer Armentrout,04 Apr 2023,Paperback,US$19.75,US$22.07
229,Unfolding Grace,Christopher Murphy,18 Jan 2023,Paperback,US$24.12,US$26.99
230,Come as You Are: Revised and Updated,Emily Nagoski,02 Mar 2021,Paperback,US$18.97,
231,"Given, Vol. 7",Natsuki Kizu,16 Mar 2023,Paperback,US$12.19,US$12.99
232,"Chainsaw Man, Vol. 1",Tatsuki Fujimoto,29 Oct 2020,Paperback,US$13.23,
233,The Wim Hof Method,Wim Hof,14 Apr 2022,Paperback,US$10.96,US$12.05
234,The Seven Principles For Making Marriage Work,John Gottman,22 Mar 2018,Paperback,US$9.92,US$12.05
235,Bunny,Mona Awad,06 Feb 2020,Paperback,US$13.21,
236,The Artist's Way,Julia Cameron,05 Nov 2020,Paperback,US$18.99,US$20.49
237,The Laws of Human Nature,Robert Greene,24 Oct 2018,Paperback,US$21.34,US$21.70
238,Thousand Autumns: Qian Qiu (Novel) Vol. 1,Meng Xi Shi,14 Mar 2023,Paperback,US$17.89,US$19.99
239,Heaven Official's Blessing: Tian Guan Ci Fu (Novel) Vol. 7,Mo Xiang Tong Xiu,12 Sep 2023,Paperback,US$17.89,US$19.99
240,Heaven Official's Blessing: Tian Guan Ci Fu (Novel) Vol. 6,Mo Xiang Tong Xiu,30 May 2023,Paperback,US$17.89,US$19.99
241,Tales from the Cafe,Toshikazu Kawaguchi,24 Sep 2020,Paperback,US$11.00,US$12.05
242,A Court of Thorns and Roses Paperback Box Set (5 books),Sarah J. Maas,01 Nov 2022,Paperback,US$64.66,
243,I May Be Wrong,Bjoern Natthiko Lindeblad,05 Jan 2023,Paperback,US$11.63,US$12.05
244,Shoe Dog,Phil Knight,03 May 2018,Paperback,US$11.96,
245,Totally Kosher,Chanie Apfelbaum,21 Mar 2023,Hardback,US$33.56,US$37.50
246,ADHD 2.0,Edward M. Hallowell,04 Jan 2022,Paperback,US$13.62,US$18.00
247,Rubicon,Tom Holland,10 Jun 2004,Paperback,US$19.42,
248,The Great Gatsby,F. Scott Fitzgerald,29 Sep 2014,Paperback,US$7.02,US$11.95
249,Sapiens,Yuval Noah Harari,30 Apr 2015,Paperback,US$14.77,
250,Good Inside,Dr Becky Kennedy,15 Sep 2022,Paperback,US$18.23,
251,The Little Prince,Antoine de Saint-Exupery,01 Jan 1998,Paperback,US$4.22,US$5.99
252,Unmasking Autism,Devon Price,07 Apr 2022,Hardback,US$16.63,US$20.49
253,I Wish I Knew,Donna Ashworth,13 May 2022,Hardback,US$9.95,US$16.99
254,It Didn't Start With You,Mark Wolynn,30 Jun 2022,Paperback,US$16.38,US$18.08
255,Atlas of the Heart,Brené Brown,01 Dec 2022,Hardback,US$35.48,
256,The Dangers of Smoking in Bed,Mariana Enriquez,03 Feb 2022,Paperback,US$9.05,US$10.84
257,The Courage To Be Disliked,Ichiro Kishimi,23 Jul 2019,Paperback,US$11.42,US$13.26
258,Living Untethered,Michael A. Singer,17 May 2022,Paperback,US$13.74,US$18.95
259,The Almanack of Naval Ravikant,Eric Jorgenson,15 Aug 2020,Hardback,US$28.44,US$31.99
260,The Ballad of Never After,Stephanie Garber,13 Sep 2022,Hardback,US$18.30,US$20.49
261,The Ruthless Elimination of Hurry,John Mark Comer,31 Oct 2019,Paperback,US$13.56,US$18.08
262,Crying in H Mart,Michelle Zauner,03 Mar 2022,Paperback,US$16.00,
263,Harry Potter and the Prisoner of Azkaban: MinaLima Edition,J.K. Rowling,03 Oct 2023,Hardback,US$43.18,US$48.25
264,Piranesi,Susanna Clarke,02 Sep 2021,Paperback,US$10.37,US$10.84
265,Notes on an Execution,Danya Kukafka,05 Jan 2023,Paperback,US$10.95,US$12.05
266,The Color Purple,Alice Walker,03 Jan 2018,Paperback,US$8.96,US$12.05
267,The Hurting Kind,Ada Limon,18 Aug 2022,Paperback,US$11.33,US$15.67
268,Circe,Madeline Miller,24 Apr 2019,Paperback,US$11.64,US$12.05
269,Harry Potter Box Set: The Complete Collection (Children's Paperback),J. K. Rowling,01 Dec 2020,Paperback,US$76.14,US$259.95
270,Young Forever,Mark Hyman,16 Feb 2023,Paperback,US$15.99,US$20.49
271,Magnolia Parks: The Long Way Home,Jessa Hastings,15 Dec 2022,Paperback,US$16.01,
272,One True Loves,Taylor Jenkins Reid,20 Jan 2022,Paperback,US$10.83,
273,The Little Book of Common Sense Investing,John C. Bogle,08 Dec 2017,Hardback,US$17.45,US$24.95
274,It Didn't Start With You,Mark Wolynn,27 Apr 2017,Paperback,US$16.97,US$18.00
275,Lessons in Chemistry,Bonnie Garmus,05 Apr 2022,Hardback,US$20.62,
276,The 5 Love Languages,Gary Chapman,26 Mar 2015,Paperback,US$14.84,
277,Hold Me Tight,Dr Sue Johnson,03 Feb 2011,Paperback,US$13.15,US$28.25
278,The Original Rider Waite Tarot Deck,A.E. Waite,10 Jun 1999,Cards,US$15.53,US$21.70
279,The Stranger,Albert Camus,09 Aug 2016,Paperback,US$13.25,US$15.00
280,Beyond Order,Jordan B. Peterson,05 May 2022,Paperback,US$12.93,US$13.26
281,Giovanni's Room,James Baldwin,26 Oct 2012,Paperback,US$8.76,US$11.00
282,Regeneration,Pat Barker,17 Jun 2011,Paperback,US$10.97,US$17.75
283,Norwegian Wood,Haruki Murakami,04 Jul 2003,Paperback,US$11.92,US$12.05
284,Empower Your Inner Psychic,Theresa Cheung,01 Aug 2023,Paperback,US$17.71,US$17.99
285,Cleopatra and Frankenstein,Coco Mellors,16 Feb 2023,Paperback,US$14.18,
286,Pattern Magic,Tomoko Nakamichi,06 Oct 2010,Paperback,US$17.50,US$24.95
287,Chill,Mark Harper,04 Aug 2022,Paperback,US$18.30,
288,Invisible Women,Caroline Criado Perez,05 Mar 2020,Paperback,US$12.97,US$13.26
