,title,author,publication_year,format,current_price,original_price
144,Reminders of Him,Colleen Hoover,2022,Paperback,12.63,15.95
146,The Light Seer's Tarot,Chris-Anne,2019,Cards,17.49,24.99
149,How the World Really Works,Vaclav Smil,2022,Paperback,12.44,13.24
150,The Witches,Roald Dahl,2007,Paperback,8.83,8.99
151,Come as You Are: Revised and Updated,Emily Nagoski,2021,Paperback,17.56,18.99
152,Convenience Store Woman,Sayaka Murata,2019,Paperback,8.87,10.83
153,Two Weeks Notice,Amy Porterfield,2023,Hardback,21.39,22.88
154,"Good Vibes, Good Life",Vex King,2018,Paperback,11.75,16.99
156,The World According to Kaleb,Kaleb Cooper,2023,Hardback,17.96,24.99
157,Leviathan Falls,James S. A. Corey,2023,Paperback,12.09,13.24
158,Meditations,Marcus Aurelius,2015,Paperback,9.87,11.0
159,The Intelligent Investor,Benjamin Graham,2003,Paperback,22.03,25.99
160,Can't Not Won't,Eliza Fricker,2023,Paperback,16.68,18.95
162,The Love Hypothesis,Ali Hazelwood,2021,Paperback,10.45,10.83
166,Charlie and the Chocolate Factory,Roald Dahl,2007,Paperback,8.42,8.99
167,Braiding Sweetgrass,Robin Wall Kimmerer,2020,Paperback,12.9,13.24
168,Roald Dahl's Marvellous Joke Book,Roald Dahl,2012,Paperback,7.86,8.2
170,Blue Lock 5,Muneyuki Kaneshiro,2023,Paperback,12.15,12.99
171,What to Do When You Worry Too Much,Dawn Huebner,2005,Paperback,16.32,16.99
172,Stolen Focus,Johann Hari,2023,Paperback,12.91,13.24
173,Heaven,Mieko Kawakami,2022,Paperback,10.74,12.03
174,Look Inside Your Body,Louie Stowell,2021,Board book,15.36,15.69
175,"Good Girl, Bad Blood",Holly Jackson,2020,Paperback,10.5,10.83
178,ADHD 2.0,Edward M. Hallowell,2022,Paperback,13.68,18.0
180,Animal Farm,George Orwell,2008,Paperback,10.47,17.75
181,Hirano and Kagiura (novel),Shou Harusono,2023,Paperback,13.0,15.0
182,Queen K,Sarah Thomas,2023,Hardback,14.42,18.06
183,Grandmaster of Demonic Cultivation: Mo Dao Zu Shi (Novel) Vol. 2,Mo Xiang Tong Xiu,2022,Paperback,15.94,19.99
