,title,author,current_price
488,Sparring Partners,John Grisham,9.2
490,Lost in the Moment and Found,Seanan McGuire,21.79
491,Girls That Invest: Your Guide to Financial Independence through Shares and Stocks,Simran Kaur,16.2
495,Baking Yesteryear,Author B. Dylan Hollis,28.64
497,Unreasonable Hospitality,Will Guidara,25.94
504,The Light We Carry,Michelle Obama,26.28
508,Babel,R F Kuang,20.98
513,School-Live! Letters,Norimitsu Kaihou,12.67
514,"Chainsaw Man, Vol. 11",Tatsuki Fujimoto,8.8
521,The Years - WINNER OF THE 2022 NOBEL PRIZE IN LITERATURE,Annie Ernaux,11.2
523,Lonely Planet Japan,Lonely Planet,21.92
541,"Medical Medium Brain Saver Protocols, Cleanses & Recipes",Anthony William,31.49
542,Artpreneur,Miriam Schulman,18.51
543,After I Do,Taylor Jenkins Reid,10.08
547,The Way I Used to Be,Amber Smith,10.67
550,Toxic Superfoods,Sally Norton,16.81
554,One Dark Window,Rachel Gillig,10.77
556,The World,Simon Sebag Montefiore,37.87
568,"Alya Sometimes Hides Her Feelings in Russian, Vol. 2",Sunsunsun,13.0
575,Poetry Unbound,Pádraig Ó Tuama,22.05
580,How to make the best coffee at home,James Hoffmann,17.5
584,Mushoku Tensei: Jobless Reincarnation (Light Novel) Vol. 20,Rifujin Na Magonote,12.34
590,The Girl Who Fell Beneath the Sea,Axie Oh,18.18
591,Things We Do Not Tell the People We Love,Huma Qureshi,10.1
592,Where the Light Fell,Philip Yancey,10.42
605,An Irish Atlantic Rainforest,Eoghan Daltun,18.47
617,Taste,Stanley Tucci,11.74
626,The End of the World Is Just the Beginning,Peter Zeihan,27.87
639,Maybe You Should Talk to Someone,Lori Gottlieb,12.89
642,The Wim Hof Method,Wim Hof,10.94
645,Killer in the Kremlin,John Sweeney,11.03
659,Ninja Kid 1-8: the Amazing Ninja Pack!,Anh Do,50.94
660,Life: What Nat To Do,Nat's What I Reckon,21.12
661,The Prison Healer,Lynette Noni,12.17
664,Wildflower Watercolor,Sushma Hegde,20.58
665,Classroom of the Elite: Year 2 (Light Novel) Vol. 4,Syougo Kinugasa,14.51
667,Do a Powerbomb,Daniel Warren Johnson,22.37
669,The Promise,Damon Galgut,11.42
673,What I Wish People Knew About Dementia,Wendy Mitchell,11.16
677,All The Lovers In The Night,Mieko Kawakami,16.03
683,The Other Side,Jennifer Higgie,20.96
689,Timeless Textured Baby Crochet,Vita Apala,22.37
700,The Awe of God,John Bevere,27.56
702,Polyvagal Card Deck,Deb Dana,17.85
707,Vertical Growth - How Self-Awareness Transforms Leaders and Organisations,Michael Bunting,15.83
716,My Killer Vacation,Tessa Bailey,9.41
717,Mistakes Were Made,Meryl Wilsner,9.94
718,Of Mice and Men,Mr John Steinbeck,11.58
719,Diary of a Wimpy Kid: Diper OEverloede (Book 17),Jeff Kinney,14.81
727,Secretly Yours,Tessa Bailey,11.37
729,The Forgotten Bookshop in Paris,Daisy Wood,11.39
737,"Elden Ring Official Strategy Guide, Vol. 2 : Shards of the Shattering",Future Press,43.12
739,"Hirano and Kagiura, Vol. 2 (manga)",Shou Harusono,11.64
741,"Death March to the Parallel World Rhapsody, Vol. 18 (light novel)",Hiro Ainana,13.47
742,"Bungo Stray Dogs: Dead Apple, Vol. 2",Bungo Stray Dogs DA Partners,12.56
743,"Chainsaw Man, Vol. 12",Tatsuki Fujimoto,8.94
744,Look Back,Tatsuki Fujimoto,11.11
745,"Chainsaw Man, Vol. 9",Tatsuki Fujimoto,8.9
755,Capitalist Realism (New Edition) - Is there no alternative?,Mark Fisher,11.87
756,Building a Second Brain,Tiago Forte,14.27
759,How to Talk so Kids Will Listen and Listen so Kids Will Talk,Adele Faber,11.88
766,Rest is Resistance,Tricia Hersey,20.07
769,In My Dreams I Hold a Knife,Ashley Winstead,11.01
770,Teenage Mutant Ninja Turtles: The Last Ronin,Kevin Eastman,26.57
772,DARLING in the FRANXX Vol. 5-6,Code:000,15.81
773,The 6 Types of Working Genius,Patrick M. Lencioni,21.18
777,Gleanings,Neal Shusterman,10.29
